TOP.69edfd87.0005053d	START
TOP.69edfd87.0005053d	user_options->increment_max	256
TOP.69edfd87.0005053d	user_options->increment_min	1
TOP.69edfd87.0005053d	user_options->keep_guessing	0
TOP.69edfd87.0005053d	user_options->kernel_accel	0
TOP.69edfd87.0005053d	user_options->kernel_loops	0
TOP.69edfd87.0005053d	user_options->kernel_threads	0
TOP.69edfd87.0005053d	user_options->keyspace	0
TOP.69edfd87.0005053d	user_options->total_candidates	0
TOP.69edfd87.0005053d	user_options->left	0
TOP.69edfd87.0005053d	user_options->logfile	1
TOP.69edfd87.0005053d	user_options->loopback	0
TOP.69edfd87.0005053d	user_options->machine_readable	0
TOP.69edfd87.0005053d	user_options->markov_classic	0
TOP.69edfd87.0005053d	user_options->markov	1
TOP.69edfd87.0005053d	user_options->markov_inverse	0
TOP.69edfd87.0005053d	user_options->markov_threshold	256
TOP.69edfd87.0005053d	user_options->metal_compiler_runtime	120
TOP.69edfd87.0005053d	user_options->multiply_accel	1
TOP.69edfd87.0005053d	user_options->backend_info	0
TOP.69edfd87.0005053d	user_options->backend_vector_width	0
TOP.69edfd87.0005053d	user_options->optimized_kernel	0
TOP.69edfd87.0005053d	user_options->outfile_autohex	1
TOP.69edfd87.0005053d	user_options->outfile_check_timer	5
TOP.69edfd87.0005053d	user_options->outfile_format	2
TOP.69edfd87.0005053d	user_options->outfile_json	0
TOP.69edfd87.0005053d	user_options->wordlist_autohex	1
TOP.69edfd87.0005053d	user_options->potfile	1
TOP.69edfd87.0005053d	user_options->progress_only	0
TOP.69edfd87.0005053d	user_options->quiet	0
TOP.69edfd87.0005053d	user_options->remove	0
TOP.69edfd87.0005053d	user_options->remove_timer	60
TOP.69edfd87.0005053d	user_options->restore	0
TOP.69edfd87.0005053d	user_options->restore_enable	1
TOP.69edfd87.0005053d	user_options->restore_timer	1
TOP.69edfd87.0005053d	user_options->rp_files_cnt	0
TOP.69edfd87.0005053d	user_options->rp_gen	0
TOP.69edfd87.0005053d	user_options->rp_gen_func_max	4
TOP.69edfd87.0005053d	user_options->rp_gen_func_min	1
TOP.69edfd87.0005053d	user_options->rp_gen_seed	0
TOP.69edfd87.0005053d	user_options->runtime	0
TOP.69edfd87.0005053d	user_options->scrypt_tmto	0
TOP.69edfd87.0005053d	user_options->segment_size	33554432
TOP.69edfd87.0005053d	user_options->self_test	1
TOP.69edfd87.0005053d	user_options->slow_candidates	0
TOP.69edfd87.0005053d	user_options->show	0
TOP.69edfd87.0005053d	user_options->speed_only	0
TOP.69edfd87.0005053d	user_options->spin_damp	0
TOP.69edfd87.0005053d	user_options->status	0
TOP.69edfd87.0005053d	user_options->status_json	0
TOP.69edfd87.0005053d	user_options->status_timer	10
TOP.69edfd87.0005053d	user_options->stdout_flag	0
TOP.69edfd87.0005053d	user_options->usage	0
TOP.69edfd87.0005053d	user_options->username	0
TOP.69edfd87.0005053d	user_options->veracrypt_pim_start	485
TOP.69edfd87.0005053d	user_options->veracrypt_pim_stop	485
TOP.69edfd87.0005053d	user_options->version	0
TOP.69edfd87.0005053d	user_options->workload_profile	2
TOP.69edfd87.0005053d	user_options->brain_client	0
TOP.69edfd87.0005053d	user_options->brain_client_features	2
TOP.69edfd87.0005053d	user_options->brain_server	0
TOP.69edfd87.0005053d	user_options->brain_server_timer	300
TOP.69edfd87.0005053d	user_options->brain_port	6863
TOP.69edfd87.0005053d	user_options->brain_session	0
TOP.69edfd87.0005053d	hashes->hashfile	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\hashcat_output\hashes_20260426_172654.txt
TOP.69edfd87.0005053d	hashes->hashlist_mode	5
TOP.69edfd87.0005053d	hashes->hashlist_format	0
TOP.69edfd87.0005053d	hashes->hashes_cnt	0
TOP.69edfd87.0005053d	hashes->digests_cnt	1
TOP.69edfd87.0005053d	hashes->digests_done_pot	0
TOP.69edfd87.0005053d	hashes->digests_done_zero	0
TOP.69edfd87.0005053d	hashes->digests_done	0
TOP.69edfd87.0005053d	hashes->salts_cnt	1
TOP.69edfd87.0005053d	hashes->salts_done	0
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	START
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	straight_ctx->dict	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\reports\wordlists\common_passwords.txt
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	runtime_start	1777204633
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	runtime_stop	1777204633
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	hashes->digests_done_new	1
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	status-after-work	6
TOP.69edfd87.0005053d	SUB.69edfd99.000c2135	STOP
TOP.69edfd87.0005053d	proc_start	1777204615
TOP.69edfd87.0005053d	proc_stop	1777204634
TOP.69edfd87.0005053d	STOP
TOP.69ee1cb6.0004adab	START
TOP.69ee1cb6.0004adab	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee1cb6.0004adab	folder_config->install_dir	.
TOP.69ee1cb6.0004adab	folder_config->profile_dir	.
TOP.69ee1cb6.0004adab	folder_config->session_dir	.
TOP.69ee1cb6.0004adab	folder_config->shared_dir	.
TOP.69ee1cb6.0004adab	user_options->encoding_from	utf-8
TOP.69ee1cb6.0004adab	user_options->encoding_to	utf-8
TOP.69ee1cb6.0004adab	user_options->outfile	cracked_test.txt
TOP.69ee1cb6.0004adab	user_options->rule_buf_l	:
TOP.69ee1cb6.0004adab	user_options->rule_buf_r	:
TOP.69ee1cb6.0004adab	user_options->session	hashcat
TOP.69ee1cb6.0004adab	user_options->separator	:
TOP.69ee1cb6.0004adab	user_options->limit	0
TOP.69ee1cb6.0004adab	user_options->skip	0
TOP.69ee1cb6.0004adab	user_options->attack_mode	0
TOP.69ee1cb6.0004adab	user_options->backend_devices_virtmulti	1
TOP.69ee1cb6.0004adab	user_options->backend_devices_virthost	1
TOP.69ee1cb6.0004adab	user_options->backend_devices_keepfree	0
TOP.69ee1cb6.0004adab	user_options->benchmark	0
TOP.69ee1cb6.0004adab	user_options->benchmark_all	0
TOP.69ee1cb6.0004adab	user_options->benchmark_max	99999
TOP.69ee1cb6.0004adab	user_options->benchmark_min	0
TOP.69ee1cb6.0004adab	user_options->bitmap_max	18
TOP.69ee1cb6.0004adab	user_options->bitmap_min	16
TOP.69ee1cb6.0004adab	user_options->debug_mode	0
TOP.69ee1cb6.0004adab	user_options->dynamic_x	0
TOP.69ee1cb6.0004adab	user_options->hash_info	0
TOP.69ee1cb6.0004adab	user_options->force	1
TOP.69ee1cb6.0004adab	user_options->hwmon	1
TOP.69ee1cb6.0004adab	user_options->hwmon_temp_abort	90
TOP.69ee1cb6.0004adab	user_options->hash_mode	0
TOP.69ee1cb6.0004adab	user_options->hex_charset	0
TOP.69ee1cb6.0004adab	user_options->hex_salt	0
TOP.69ee1cb6.0004adab	user_options->hex_wordlist	0
TOP.69ee1cb6.0004adab	user_options->hook_threads	12
TOP.69ee1cb6.0004adab	user_options->identify	0
TOP.69ee1cb6.0004adab	user_options->increment	0
TOP.69ee1cb6.0004adab	user_options->increment_max	256
TOP.69ee1cb6.0004adab	user_options->increment_min	1
TOP.69ee1cb6.0004adab	user_options->keep_guessing	0
TOP.69ee1cb6.0004adab	user_options->kernel_accel	0
TOP.69ee1cb6.0004adab	user_options->kernel_loops	0
TOP.69ee1cb6.0004adab	user_options->kernel_threads	0
TOP.69ee1cb6.0004adab	user_options->keyspace	0
TOP.69ee1cb6.0004adab	user_options->total_candidates	0
TOP.69ee1cb6.0004adab	user_options->left	0
TOP.69ee1cb6.0004adab	user_options->logfile	1
TOP.69ee1cb6.0004adab	user_options->loopback	0
TOP.69ee1cb6.0004adab	user_options->machine_readable	0
TOP.69ee1cb6.0004adab	user_options->markov_classic	0
TOP.69ee1cb6.0004adab	user_options->markov	1
TOP.69ee1cb6.0004adab	user_options->markov_inverse	0
TOP.69ee1cb6.0004adab	user_options->markov_threshold	256
TOP.69ee1cb6.0004adab	user_options->metal_compiler_runtime	120
TOP.69ee1cb6.0004adab	user_options->multiply_accel	1
TOP.69ee1cb6.0004adab	user_options->backend_info	0
TOP.69ee1cb6.0004adab	user_options->backend_vector_width	0
TOP.69ee1cb6.0004adab	user_options->optimized_kernel	0
TOP.69ee1cb6.0004adab	user_options->outfile_autohex	1
TOP.69ee1cb6.0004adab	user_options->outfile_check_timer	5
TOP.69ee1cb6.0004adab	user_options->outfile_format	3
TOP.69ee1cb6.0004adab	user_options->outfile_json	0
TOP.69ee1cb6.0004adab	user_options->wordlist_autohex	1
TOP.69ee1cb6.0004adab	user_options->potfile	0
TOP.69ee1cb6.0004adab	user_options->progress_only	0
TOP.69ee1cb6.0004adab	user_options->quiet	0
TOP.69ee1cb6.0004adab	user_options->remove	0
TOP.69ee1cb6.0004adab	user_options->remove_timer	60
TOP.69ee1cb6.0004adab	user_options->restore	0
TOP.69ee1cb6.0004adab	user_options->restore_enable	1
TOP.69ee1cb6.0004adab	user_options->restore_timer	1
TOP.69ee1cb6.0004adab	user_options->rp_files_cnt	0
TOP.69ee1cb6.0004adab	user_options->rp_gen	0
TOP.69ee1cb6.0004adab	user_options->rp_gen_func_max	4
TOP.69ee1cb6.0004adab	user_options->rp_gen_func_min	1
TOP.69ee1cb6.0004adab	user_options->rp_gen_seed	0
TOP.69ee1cb6.0004adab	user_options->runtime	0
TOP.69ee1cb6.0004adab	user_options->scrypt_tmto	0
TOP.69ee1cb6.0004adab	user_options->segment_size	33554432
TOP.69ee1cb6.0004adab	user_options->self_test	1
TOP.69ee1cb6.0004adab	user_options->slow_candidates	0
TOP.69ee1cb6.0004adab	user_options->show	0
TOP.69ee1cb6.0004adab	user_options->speed_only	0
TOP.69ee1cb6.0004adab	user_options->spin_damp	0
TOP.69ee1cb6.0004adab	user_options->status	0
TOP.69ee1cb6.0004adab	user_options->status_json	0
TOP.69ee1cb6.0004adab	user_options->status_timer	10
TOP.69ee1cb6.0004adab	user_options->stdout_flag	0
TOP.69ee1cb6.0004adab	user_options->usage	0
TOP.69ee1cb6.0004adab	user_options->username	0
TOP.69ee1cb6.0004adab	user_options->veracrypt_pim_start	485
TOP.69ee1cb6.0004adab	user_options->veracrypt_pim_stop	485
TOP.69ee1cb6.0004adab	user_options->version	0
TOP.69ee1cb6.0004adab	user_options->workload_profile	2
TOP.69ee1cb6.0004adab	user_options->brain_client	0
TOP.69ee1cb6.0004adab	user_options->brain_client_features	2
TOP.69ee1cb6.0004adab	user_options->brain_server	0
TOP.69ee1cb6.0004adab	user_options->brain_server_timer	300
TOP.69ee1cb6.0004adab	user_options->brain_port	6863
TOP.69ee1cb6.0004adab	user_options->brain_session	0
TOP.69ee1cb6.0004adab	proc_start	1777212598
TOP.69ee1cb6.0004adab	proc_stop	1777212600
TOP.69ee1cb6.0004adab	STOP
TOP.69ee2542.000c9a36	START
TOP.69ee2542.000c9a36	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee2542.000c9a36	folder_config->install_dir	.
TOP.69ee2542.000c9a36	folder_config->profile_dir	.
TOP.69ee2542.000c9a36	folder_config->session_dir	.
TOP.69ee2542.000c9a36	folder_config->shared_dir	.
TOP.69ee2542.000c9a36	user_options->encoding_from	utf-8
TOP.69ee2542.000c9a36	user_options->encoding_to	utf-8
TOP.69ee2542.000c9a36	user_options->outfile	cracked_test.txt
TOP.69ee2542.000c9a36	user_options->rule_buf_l	:
TOP.69ee2542.000c9a36	user_options->rule_buf_r	:
TOP.69ee2542.000c9a36	user_options->session	hashcat
TOP.69ee2542.000c9a36	user_options->separator	:
TOP.69ee2542.000c9a36	user_options->limit	0
TOP.69ee2542.000c9a36	user_options->skip	0
TOP.69ee2542.000c9a36	user_options->attack_mode	0
TOP.69ee2542.000c9a36	user_options->backend_devices_virtmulti	1
TOP.69ee2542.000c9a36	user_options->backend_devices_virthost	1
TOP.69ee2542.000c9a36	user_options->backend_devices_keepfree	0
TOP.69ee2542.000c9a36	user_options->benchmark	0
TOP.69ee2542.000c9a36	user_options->benchmark_all	0
TOP.69ee2542.000c9a36	user_options->benchmark_max	99999
TOP.69ee2542.000c9a36	user_options->benchmark_min	0
TOP.69ee2542.000c9a36	user_options->bitmap_max	18
TOP.69ee2542.000c9a36	user_options->bitmap_min	16
TOP.69ee2542.000c9a36	user_options->debug_mode	0
TOP.69ee2542.000c9a36	user_options->dynamic_x	0
TOP.69ee2542.000c9a36	user_options->hash_info	0
TOP.69ee2542.000c9a36	user_options->force	1
TOP.69ee2542.000c9a36	user_options->hwmon	1
TOP.69ee2542.000c9a36	user_options->hwmon_temp_abort	90
TOP.69ee2542.000c9a36	user_options->hash_mode	0
TOP.69ee2542.000c9a36	user_options->hex_charset	0
TOP.69ee2542.000c9a36	user_options->hex_salt	0
TOP.69ee2542.000c9a36	user_options->hex_wordlist	0
TOP.69ee2542.000c9a36	user_options->hook_threads	12
TOP.69ee2542.000c9a36	user_options->identify	0
TOP.69ee2542.000c9a36	user_options->increment	0
TOP.69ee2542.000c9a36	user_options->increment_max	256
TOP.69ee2542.000c9a36	user_options->increment_min	1
TOP.69ee2542.000c9a36	user_options->keep_guessing	0
TOP.69ee2542.000c9a36	user_options->kernel_accel	0
TOP.69ee2542.000c9a36	user_options->kernel_loops	0
TOP.69ee2542.000c9a36	user_options->kernel_threads	0
TOP.69ee2542.000c9a36	user_options->keyspace	0
TOP.69ee2542.000c9a36	user_options->total_candidates	0
TOP.69ee2542.000c9a36	user_options->left	0
TOP.69ee2542.000c9a36	user_options->logfile	1
TOP.69ee2542.000c9a36	user_options->loopback	0
TOP.69ee2542.000c9a36	user_options->machine_readable	0
TOP.69ee2542.000c9a36	user_options->markov_classic	0
TOP.69ee2542.000c9a36	user_options->markov	1
TOP.69ee2542.000c9a36	user_options->markov_inverse	0
TOP.69ee2542.000c9a36	user_options->markov_threshold	256
TOP.69ee2542.000c9a36	user_options->metal_compiler_runtime	120
TOP.69ee2542.000c9a36	user_options->multiply_accel	1
TOP.69ee2542.000c9a36	user_options->backend_info	0
TOP.69ee2542.000c9a36	user_options->backend_vector_width	0
TOP.69ee2542.000c9a36	user_options->optimized_kernel	0
TOP.69ee2542.000c9a36	user_options->outfile_autohex	1
TOP.69ee2542.000c9a36	user_options->outfile_check_timer	5
TOP.69ee2542.000c9a36	user_options->outfile_format	3
TOP.69ee2542.000c9a36	user_options->outfile_json	0
TOP.69ee2542.000c9a36	user_options->wordlist_autohex	1
TOP.69ee2542.000c9a36	user_options->potfile	0
TOP.69ee2542.000c9a36	user_options->progress_only	0
TOP.69ee2542.000c9a36	user_options->quiet	0
TOP.69ee2542.000c9a36	user_options->remove	0
TOP.69ee2542.000c9a36	user_options->remove_timer	60
TOP.69ee2542.000c9a36	user_options->restore	0
TOP.69ee2542.000c9a36	user_options->restore_enable	1
TOP.69ee2542.000c9a36	user_options->restore_timer	1
TOP.69ee2542.000c9a36	user_options->rp_files_cnt	0
TOP.69ee2542.000c9a36	user_options->rp_gen	0
TOP.69ee2542.000c9a36	user_options->rp_gen_func_max	4
TOP.69ee2542.000c9a36	user_options->rp_gen_func_min	1
TOP.69ee2542.000c9a36	user_options->rp_gen_seed	0
TOP.69ee2542.000c9a36	user_options->runtime	0
TOP.69ee2542.000c9a36	user_options->scrypt_tmto	0
TOP.69ee2542.000c9a36	user_options->segment_size	33554432
TOP.69ee2542.000c9a36	user_options->self_test	1
TOP.69ee2542.000c9a36	user_options->slow_candidates	0
TOP.69ee2542.000c9a36	user_options->show	0
TOP.69ee2542.000c9a36	user_options->speed_only	0
TOP.69ee2542.000c9a36	user_options->spin_damp	0
TOP.69ee2542.000c9a36	user_options->status	0
TOP.69ee2542.000c9a36	user_options->status_json	0
TOP.69ee2542.000c9a36	user_options->status_timer	10
TOP.69ee2542.000c9a36	user_options->stdout_flag	0
TOP.69ee2542.000c9a36	user_options->usage	0
TOP.69ee2542.000c9a36	user_options->username	0
TOP.69ee2542.000c9a36	user_options->veracrypt_pim_start	485
TOP.69ee2542.000c9a36	user_options->veracrypt_pim_stop	485
TOP.69ee2542.000c9a36	user_options->version	0
TOP.69ee2542.000c9a36	user_options->workload_profile	2
TOP.69ee2542.000c9a36	user_options->brain_client	0
TOP.69ee2542.000c9a36	user_options->brain_client_features	2
TOP.69ee2542.000c9a36	user_options->brain_server	0
TOP.69ee2542.000c9a36	user_options->brain_server_timer	300
TOP.69ee2542.000c9a36	user_options->brain_port	6863
TOP.69ee2542.000c9a36	user_options->brain_session	0
TOP.69ee2542.000c9a36	proc_start	1777214786
TOP.69ee2542.000c9a36	proc_stop	1777214788
TOP.69ee2542.000c9a36	STOP
TOP.69ee254e.0007e12e	START
TOP.69ee254e.0007e12e	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee254e.0007e12e	folder_config->install_dir	.
TOP.69ee254e.0007e12e	folder_config->profile_dir	.
TOP.69ee254e.0007e12e	folder_config->session_dir	.
TOP.69ee254e.0007e12e	folder_config->shared_dir	.
TOP.69ee254e.0007e12e	user_options->encoding_from	utf-8
TOP.69ee254e.0007e12e	user_options->encoding_to	utf-8
TOP.69ee254e.0007e12e	user_options->outfile	cracked_test.txt
TOP.69ee254e.0007e12e	user_options->rule_buf_l	:
TOP.69ee254e.0007e12e	user_options->rule_buf_r	:
TOP.69ee254e.0007e12e	user_options->session	hashcat
TOP.69ee254e.0007e12e	user_options->separator	:
TOP.69ee254e.0007e12e	user_options->limit	0
TOP.69ee254e.0007e12e	user_options->skip	0
TOP.69ee254e.0007e12e	user_options->attack_mode	0
TOP.69ee254e.0007e12e	user_options->backend_devices_virtmulti	1
TOP.69ee254e.0007e12e	user_options->backend_devices_virthost	1
TOP.69ee254e.0007e12e	user_options->backend_devices_keepfree	0
TOP.69ee254e.0007e12e	user_options->benchmark	0
TOP.69ee254e.0007e12e	user_options->benchmark_all	0
TOP.69ee254e.0007e12e	user_options->benchmark_max	99999
TOP.69ee254e.0007e12e	user_options->benchmark_min	0
TOP.69ee254e.0007e12e	user_options->bitmap_max	18
TOP.69ee254e.0007e12e	user_options->bitmap_min	16
TOP.69ee254e.0007e12e	user_options->debug_mode	0
TOP.69ee254e.0007e12e	user_options->dynamic_x	0
TOP.69ee254e.0007e12e	user_options->hash_info	0
TOP.69ee254e.0007e12e	user_options->force	1
TOP.69ee254e.0007e12e	user_options->hwmon	1
TOP.69ee254e.0007e12e	user_options->hwmon_temp_abort	90
TOP.69ee254e.0007e12e	user_options->hash_mode	0
TOP.69ee254e.0007e12e	user_options->hex_charset	0
TOP.69ee254e.0007e12e	user_options->hex_salt	0
TOP.69ee254e.0007e12e	user_options->hex_wordlist	0
TOP.69ee254e.0007e12e	user_options->hook_threads	12
TOP.69ee254e.0007e12e	user_options->identify	0
TOP.69ee254e.0007e12e	user_options->increment	0
TOP.69ee254e.0007e12e	user_options->increment_max	256
TOP.69ee254e.0007e12e	user_options->increment_min	1
TOP.69ee254e.0007e12e	user_options->keep_guessing	0
TOP.69ee254e.0007e12e	user_options->kernel_accel	0
TOP.69ee254e.0007e12e	user_options->kernel_loops	0
TOP.69ee254e.0007e12e	user_options->kernel_threads	0
TOP.69ee254e.0007e12e	user_options->keyspace	0
TOP.69ee254e.0007e12e	user_options->total_candidates	0
TOP.69ee254e.0007e12e	user_options->left	0
TOP.69ee254e.0007e12e	user_options->logfile	1
TOP.69ee254e.0007e12e	user_options->loopback	0
TOP.69ee254e.0007e12e	user_options->machine_readable	0
TOP.69ee254e.0007e12e	user_options->markov_classic	0
TOP.69ee254e.0007e12e	user_options->markov	1
TOP.69ee254e.0007e12e	user_options->markov_inverse	0
TOP.69ee254e.0007e12e	user_options->markov_threshold	256
TOP.69ee254e.0007e12e	user_options->metal_compiler_runtime	120
TOP.69ee254e.0007e12e	user_options->multiply_accel	1
TOP.69ee254e.0007e12e	user_options->backend_info	0
TOP.69ee254e.0007e12e	user_options->backend_vector_width	0
TOP.69ee254e.0007e12e	user_options->optimized_kernel	0
TOP.69ee254e.0007e12e	user_options->outfile_autohex	1
TOP.69ee254e.0007e12e	user_options->outfile_check_timer	5
TOP.69ee254e.0007e12e	user_options->outfile_format	3
TOP.69ee254e.0007e12e	user_options->outfile_json	0
TOP.69ee254e.0007e12e	user_options->wordlist_autohex	1
TOP.69ee254e.0007e12e	user_options->potfile	0
TOP.69ee254e.0007e12e	user_options->progress_only	0
TOP.69ee254e.0007e12e	user_options->quiet	0
TOP.69ee254e.0007e12e	user_options->remove	0
TOP.69ee254e.0007e12e	user_options->remove_timer	60
TOP.69ee254e.0007e12e	user_options->restore	0
TOP.69ee254e.0007e12e	user_options->restore_enable	1
TOP.69ee254e.0007e12e	user_options->restore_timer	1
TOP.69ee254e.0007e12e	user_options->rp_files_cnt	0
TOP.69ee254e.0007e12e	user_options->rp_gen	0
TOP.69ee254e.0007e12e	user_options->rp_gen_func_max	4
TOP.69ee254e.0007e12e	user_options->rp_gen_func_min	1
TOP.69ee254e.0007e12e	user_options->rp_gen_seed	0
TOP.69ee254e.0007e12e	user_options->runtime	0
TOP.69ee254e.0007e12e	user_options->scrypt_tmto	0
TOP.69ee254e.0007e12e	user_options->segment_size	33554432
TOP.69ee254e.0007e12e	user_options->self_test	1
TOP.69ee254e.0007e12e	user_options->slow_candidates	0
TOP.69ee254e.0007e12e	user_options->show	0
TOP.69ee254e.0007e12e	user_options->speed_only	0
TOP.69ee254e.0007e12e	user_options->spin_damp	0
TOP.69ee254e.0007e12e	user_options->status	0
TOP.69ee254e.0007e12e	user_options->status_json	0
TOP.69ee254e.0007e12e	user_options->status_timer	10
TOP.69ee254e.0007e12e	user_options->stdout_flag	0
TOP.69ee254e.0007e12e	user_options->usage	0
TOP.69ee254e.0007e12e	user_options->username	0
TOP.69ee254e.0007e12e	user_options->veracrypt_pim_start	485
TOP.69ee254e.0007e12e	user_options->veracrypt_pim_stop	485
TOP.69ee254e.0007e12e	user_options->version	0
TOP.69ee254e.0007e12e	user_options->workload_profile	2
TOP.69ee254e.0007e12e	user_options->brain_client	0
TOP.69ee254e.0007e12e	user_options->brain_client_features	2
TOP.69ee254e.0007e12e	user_options->brain_server	0
TOP.69ee254e.0007e12e	user_options->brain_server_timer	300
TOP.69ee254e.0007e12e	user_options->brain_port	6863
TOP.69ee254e.0007e12e	user_options->brain_session	0
TOP.69ee254e.0007e12e	proc_start	1777214798
TOP.69ee254e.0007e12e	proc_stop	1777214800
TOP.69ee254e.0007e12e	STOP
TOP.69ee25e6.0000327a	START
TOP.69ee25e6.0000327a	folder_config->cwd	C:\Users\Lenovo\Desktop\Mini Project\Penetration-Testing-Framework-API\tools\hashcat
TOP.69ee25e6.0000327a	folder_config->install_dir	.
TOP.69ee25e6.0000327a	folder_config->profile_dir	.
TOP.69ee25e6.0000327a	folder_config->session_dir	.
TOP.69ee25e6.0000327a	folder_config->shared_dir	.
TOP.69ee25e6.0000327a	user_options->encoding_from	utf-8
TOP.69ee25e6.0000327a	user_options->encoding_to	utf-8
TOP.69ee25e6.0000327a	user_options->outfile	cracked_test.txt
TOP.69ee25e6.0000327a	user_options->rule_buf_l	:
TOP.69ee25e6.0000327a	user_options->rule_buf_r	:
TOP.69ee25e6.0000327a	user_options->session	hashcat
TOP.69ee25e6.0000327a	user_options->separator	:
TOP.69ee25e6.0000327a	user_options->limit	0
TOP.69ee25e6.0000327a	user_options->skip	0
TOP.69ee25e6.0000327a	user_options->attack_mode	0
TOP.69ee25e6.0000327a	user_options->backend_devices_virtmulti	1
TOP.69ee25e6.0000327a	user_options->backend_devices_virthost	1
TOP.69ee25e6.0000327a	user_options->backend_devices_keepfree	0
TOP.69ee25e6.0000327a	user_options->benchmark	0
TOP.69ee25e6.0000327a	user_options->benchmark_all	0
TOP.69ee25e6.0000327a	user_options->benchmark_max	99999
TOP.69ee25e6.0000327a	user_options->benchmark_min	0
TOP.69ee25e6.0000327a	user_options->bitmap_max	18
TOP.69ee25e6.0000327a	user_options->bitmap_min	16
TOP.69ee25e6.0000327a	user_options->debug_mode	0
TOP.69ee25e6.0000327a	user_options->dynamic_x	0
TOP.69ee25e6.0000327a	user_options->hash_info	0
TOP.69ee25e6.0000327a	user_options->force	1
TOP.69ee25e6.0000327a	user_options->hwmon	1
TOP.69ee25e6.0000327a	user_options->hwmon_temp_abort	90
TOP.69ee25e6.0000327a	user_options->hash_mode	0
TOP.69ee25e6.0000327a	user_options->hex_charset	0
TOP.69ee25e6.0000327a	user_options->hex_salt	0
TOP.69ee25e6.0000327a	user_options->hex_wordlist	0
TOP.69ee25e6.0000327a	user_options->hook_threads	12
TOP.69ee25e6.0000327a	user_options->identify	0
TOP.69ee25e6.0000327a	user_options->increment	0
TOP.69ee25e6.0000327a	user_options->increment_max	256
TOP.69ee25e6.0000327a	user_options->increment_min	1
TOP.69ee25e6.0000327a	user_options->keep_guessing	0
TOP.69ee25e6.0000327a	user_options->kernel_accel	0
TOP.69ee25e6.0000327a	user_options->kernel_loops	0
TOP.69ee25e6.0000327a	user_options->kernel_threads	0
TOP.69ee25e6.0000327a	user_options->keyspace	0
TOP.69ee25e6.0000327a	user_options->total_candidates	0
TOP.69ee25e6.0000327a	user_options->left	0
TOP.69ee25e6.0000327a	user_options->logfile	1
TOP.69ee25e6.0000327a	user_options->loopback	0
